ID,Matched,Model,Package,FunctionName,Summary,File,LineNumber,LineContent,MotherLine,MotherBody,DeclaredType
org-apache-hc-core5-net-model-URIAuthority-URIAuthority-1-1-1,F,org.apache.hc.core5.net,URIAuthority,URIAuthority,"['org.apache.hc.core5.net', 'URIAuthority', True, 'URIAuthority', '(Host)', '', 'Argument[0]', 'Argument[this]', 'taint', 'hq-manual']",,,,,,
org-apache-hc-core5-net-model-URIAuthority-URIAuthority-1-2-1,F,org.apache.hc.core5.net,URIAuthority,URIAuthority,"['org.apache.hc.core5.net', 'URIAuthority', True, 'URIAuthority', '(String)', '', 'Argument[0]', 'Argument[this]', 'taint', 'hq-manual']",,,,,,
org-apache-hc-core5-net-model-URIAuthority-URIAuthority-1-3-1,F,org.apache.hc.core5.net,URIAuthority,URIAuthority,"['org.apache.hc.core5.net', 'URIAuthority', True, 'URIAuthority', '(String,Host)', '', 'Argument[1]', 'Argument[this]', 'taint', 'hq-manual']",,,,,,
org-apache-hc-core5-net-model-URIAuthority-URIAuthority-1-4-1,F,org.apache.hc.core5.net,URIAuthority,URIAuthority,"['org.apache.hc.core5.net', 'URIAuthority', True, 'URIAuthority', '(String,String,int)', '', 'Argument[1]', 'Argument[this]', 'taint', 'hq-manual']",,,,,,
org-apache-hc-core5-net-model-URIAuthority-URIAuthority-1-5-1,F,org.apache.hc.core5.net,URIAuthority,URIAuthority,"['org.apache.hc.core5.net', 'URIAuthority', True, 'URIAuthority', '(String,int)', '', 'Argument[0]', 'Argument[this]', 'taint', 'hq-manual']",,,,,,
org-apache-hc-core5-net-model-URIAuthority-getHostName-1-6-1,F,org.apache.hc.core5.net,URIAuthority,getHostName,"['org.apache.hc.core5.net', 'URIAuthority', True, 'getHostName', '()', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']",,,,,,
org-apache-hc-core5-net-model-URIAuthority-toString-1-7-1,F,org.apache.hc.core5.net,URIAuthority,toString,"['org.apache.hc.core5.net', 'URIAuthority', True, 'toString', '()', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']",,,,,,
org-apache-hc-core5-net-model-URIBuilder-URIBuilder-1-8-1,F,org.apache.hc.core5.net,URIBuilder,URIBuilder,"['org.apache.hc.core5.net', 'URIBuilder', True, 'URIBuilder', '(String)', '', 'Argument[0]', 'Argument[this]', 'taint', 'hq-manual']",,,,,,
org-apache-hc-core5-net-model-URIBuilder-URIBuilder-1-9-1,F,org.apache.hc.core5.net,URIBuilder,URIBuilder,"['org.apache.hc.core5.net', 'URIBuilder', True, 'URIBuilder', '(String,Charset)', '', 'Argument[0]', 'Argument[this]', 'taint', 'hq-manual']",,,,,,
org-apache-hc-core5-net-model-URIBuilder-URIBuilder-1-10-1,F,org.apache.hc.core5.net,URIBuilder,URIBuilder,"['org.apache.hc.core5.net', 'URIBuilder', True, 'URIBuilder', '(URI)', '', 'Argument[0]', 'Argument[this]', 'taint', 'hq-manual']",,,,,,
org-apache-hc-core5-net-model-URIBuilder-URIBuilder-1-11-1,F,org.apache.hc.core5.net,URIBuilder,URIBuilder,"['org.apache.hc.core5.net', 'URIBuilder', True, 'URIBuilder', '(URI,Charset)', '', 'Argument[0]', 'Argument[this]', 'taint', 'hq-manual']",,,,,,
org-apache-hc-core5-net-model-URIBuilder-setHost-1-12-1,F,org.apache.hc.core5.net,URIBuilder,setHost,"['org.apache.hc.core5.net', 'URIBuilder', True, 'setHost', '(InetAddress)', '', 'Argument[0]', 'Argument[this]', 'taint', 'hq-manual']",,,,,,
org-apache-hc-core5-net-model-URIBuilder-setHost-1-13-1,F,org.apache.hc.core5.net,URIBuilder,setHost,"['org.apache.hc.core5.net', 'URIBuilder', True, 'setHost', '(InetAddress)', '', 'Argument[0]', 'ReturnValue', 'taint', 'hq-manual']",,,,,,
org-apache-hc-core5-net-model-URIBuilder-setHost-1-14-1,F,org.apache.hc.core5.net,URIBuilder,setHost,"['org.apache.hc.core5.net', 'URIBuilder', True, 'setHost', '(String)', '', 'Argument[0]', 'Argument[this]', 'taint', 'hq-manual']",,,,,,
org-apache-hc-core5-net-model-URIBuilder-setHost-1-15-1,F,org.apache.hc.core5.net,URIBuilder,setHost,"['org.apache.hc.core5.net', 'URIBuilder', True, 'setHost', '(String)', '', 'Argument[0]', 'ReturnValue', 'taint', 'hq-manual']",,,,,,
org-apache-hc-core5-net-model-URIBuilder-setHttpHost-1-16-1,F,org.apache.hc.core5.net,URIBuilder,setHttpHost,"['org.apache.hc.core5.net', 'URIBuilder', True, 'setHttpHost', '(HttpHost)', '', 'Argument[0]', 'Argument[this]', 'taint', 'hq-manual']",,,,,,
org-apache-hc-core5-net-model-URIBuilder-setHttpHost-1-17-1,F,org.apache.hc.core5.net,URIBuilder,setHttpHost,"['org.apache.hc.core5.net', 'URIBuilder', True, 'setHttpHost', '(HttpHost)', '', 'Argument[0]', 'ReturnValue', 'taint', 'hq-manual']",,,,,,
org-apache-hc-core5-net-model-URLEncodedUtils-parse-1-18-1,F,org.apache.hc.core5.net,URLEncodedUtils,parse,"['org.apache.hc.core5.net', 'URLEncodedUtils', True, 'parse', '(URI,Charset)', '', 'Argument[0]', 'ReturnValue.Element', 'taint', 'hq-manual']",,,,,,
javax-crypto-spec-model-IvParameterSpec-IvParameterSpec-2-19-1,F,javax.crypto.spec,IvParameterSpec,IvParameterSpec,"['javax.crypto.spec', 'IvParameterSpec', True, 'IvParameterSpec', '', '', 'Argument[0]', 'Argument[this]', 'taint', 'manual']",,,,,,
javax-crypto-spec-model-GCMParameterSpec-GCMParameterSpec-2-20-1,F,javax.crypto.spec,GCMParameterSpec,GCMParameterSpec,"['javax.crypto.spec', 'GCMParameterSpec', True, 'GCMParameterSpec', '', '', 'Argument[1]', 'Argument[this]', 'taint', 'manual']",,,,,,
javax-crypto-spec-model-RC2ParameterSpec-RC2ParameterSpec-2-21-1,F,javax.crypto.spec,RC2ParameterSpec,RC2ParameterSpec,"['javax.crypto.spec', 'RC2ParameterSpec', True, 'RC2ParameterSpec', '', '', 'Argument[1]', 'Argument[this]', 'taint', 'manual']",,,,,,
javax-crypto-spec-model-RC5ParameterSpec-RC5ParameterSpec-2-22-1,F,javax.crypto.spec,RC5ParameterSpec,RC5ParameterSpec,"['javax.crypto.spec', 'RC5ParameterSpec', True, 'RC5ParameterSpec', '', '', 'Argument[3]', 'Argument[this]', 'taint', 'manual']",,,,,,
com-esotericsoftware-kryo-io-model-Input-Input-3-23-1,F,com.esotericsoftware.kryo.io,Input,Input,"['com.esotericsoftware.kryo.io', 'Input', False, 'Input', '', '', 'Argument[0]', 'Argument[this]', 'taint', 'manual']",,,,,,
org-apache-commons-compress-archivers-tar-model-TarArchiveEntry-TarArchiveEntry-4-24-1,F,org.apache.commons.compress.archivers.tar,TarArchiveEntry,TarArchiveEntry,"['org.apache.commons.compress.archivers.tar', 'TarArchiveEntry', True, 'TarArchiveEntry', '(String)', '', 'Argument[0]', 'Argument[this]', 'taint', 'ai-manual']",,,,,,
org-apache-commons-compress-archivers-tar-model-TarArchiveEntry-TarArchiveEntry-4-25-1,F,org.apache.commons.compress.archivers.tar,TarArchiveEntry,TarArchiveEntry,"['org.apache.commons.compress.archivers.tar', 'TarArchiveEntry', True, 'TarArchiveEntry', '(String,boolean)', '', 'Argument[0]', 'Argument[this]', 'taint', 'ai-manual']",,,,,,
org-apache-commons-compress-archivers-tar-model-TarArchiveEntry-TarArchiveEntry-4-26-1,F,org.apache.commons.compress.archivers.tar,TarArchiveEntry,TarArchiveEntry,"['org.apache.commons.compress.archivers.tar', 'TarArchiveEntry', True, 'TarArchiveEntry', '(String,byte)', '', 'Argument[0]', 'Argument[this]', 'taint', 'ai-manual']",,,,,,
org-apache-commons-compress-archivers-tar-model-TarArchiveEntry-setLinkName-4-27-1,F,org.apache.commons.compress.archivers.tar,TarArchiveEntry,setLinkName,"['org.apache.commons.compress.archivers.tar', 'TarArchiveEntry', True, 'setLinkName', '(String)', '', 'Argument[0]', 'Argument[this]', 'taint', 'ai-manual']",,,,,,
org-kohsuke-stapler-framework-adjunct-model-AdjunctManager-AdjunctManager-5-28-1,F,org.kohsuke.stapler.framework.adjunct,AdjunctManager,AdjunctManager,"['org.kohsuke.stapler.framework.adjunct', 'AdjunctManager', True, 'AdjunctManager', '(ServletContext,ClassLoader,String,long)', '', 'Argument[2]', 'Argument[this].Field[org.kohsuke.stapler.framework.adjunct.AdjunctManager.rootURL]', 'taint', 'ai-manual']",,,,,,
java-lang-model-AbstractStringBuilder-AbstractStringBuilder-6-29-1,F,java.lang,AbstractStringBuilder,AbstractStringBuilder,"['java.lang', 'AbstractStringBuilder', True, 'AbstractStringBuilder', '(String)', '', 'Argument[0]', 'Argument[this]', 'taint', 'manual']",,,,,,
java-lang-model-AbstractStringBuilder-append-6-30-1,F,java.lang,AbstractStringBuilder,append,"['java.lang', 'AbstractStringBuilder', True, 'append', '', '', 'Argument[this]', 'ReturnValue', 'value', 'manual']",,,,,,
java-lang-model-AbstractStringBuilder-append-6-31-1,F,java.lang,AbstractStringBuilder,append,"['java.lang', 'AbstractStringBuilder', True, 'append', '', '', 'Argument[0]', 'Argument[this]', 'taint', 'manual']",,,,,,
java-lang-model-ProcessBuilder-environment-6-32-1,F,java.lang,ProcessBuilder,environment,"['java.lang', 'ProcessBuilder', False, 'environment', '()', '', 'Argument[this]', 'ReturnValue', 'taint', 'ai-manual']",,,,,,
java-lang-model-AbstractStringBuilder-delete-6-33-1,F,java.lang,AbstractStringBuilder,delete,"['java.lang', 'AbstractStringBuilder', True, 'delete', '(int,int)', '', 'Argument[this]', 'ReturnValue', 'value', 'manual']",,,,,,
java-lang-model-AbstractStringBuilder-getChars-6-34-1,F,java.lang,AbstractStringBuilder,getChars,"['java.lang', 'AbstractStringBuilder', True, 'getChars', '', '', 'Argument[this]', 'Argument[2]', 'taint', 'manual']",,,,,,
java-lang-model-AbstractStringBuilder-insert-6-35-1,F,java.lang,AbstractStringBuilder,insert,"['java.lang', 'AbstractStringBuilder', True, 'insert', '', '', 'Argument[this]', 'ReturnValue', 'value', 'manual']",,,,,,
java-lang-model-AbstractStringBuilder-insert-6-36-1,F,java.lang,AbstractStringBuilder,insert,"['java.lang', 'AbstractStringBuilder', True, 'insert', '', '', 'Argument[1]', 'Argument[this]', 'taint', 'manual']",,,,,,
java-lang-model-AbstractStringBuilder-replace-6-37-1,F,java.lang,AbstractStringBuilder,replace,"['java.lang', 'AbstractStringBuilder', True, 'replace', '', '', 'Argument[this]', 'ReturnValue', 'value', 'manual']",,,,,,
java-lang-model-AbstractStringBuilder-replace-6-38-1,F,java.lang,AbstractStringBuilder,replace,"['java.lang', 'AbstractStringBuilder', True, 'replace', '', '', 'Argument[2]', 'Argument[this]', 'taint', 'manual']",,,,,,
java-lang-model-AbstractStringBuilder-reverse-6-39-1,F,java.lang,AbstractStringBuilder,reverse,"['java.lang', 'AbstractStringBuilder', True, 'reverse', '', '', 'Argument[this]', 'ReturnValue', 'value', 'manual']",,,,,,
java-lang-model-AbstractStringBuilder-substring-6-40-1,F,java.lang,AbstractStringBuilder,substring,"['java.lang', 'AbstractStringBuilder', True, 'substring', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']",,,,,,
java-lang-model-Appendable-append-6-41-1,F,java.lang,Appendable,append,"['java.lang', 'Appendable', True, 'append', '', '', 'Argument[this]', 'ReturnValue', 'value', 'manual']",,,,,,
java-lang-model-Appendable-append-6-42-1,F,java.lang,Appendable,append,"['java.lang', 'Appendable', True, 'append', '', '', 'Argument[0]', 'Argument[this]', 'taint', 'manual']",,,,,,
java-lang-model-AssertionError-AssertionError-6-43-1,F,java.lang,AssertionError,AssertionError,"['java.lang', 'AssertionError', False, 'AssertionError', '(Object)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'value', 'manual']",,,,,,
java-lang-model-CharSequence-charAt-6-44-1,F,java.lang,CharSequence,charAt,"['java.lang', 'CharSequence', True, 'charAt', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']",,,,,,
java-lang-model-CharSequence-subSequence-6-45-1,F,java.lang,CharSequence,subSequence,"['java.lang', 'CharSequence', True, 'subSequence', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']",,,,,,
java-lang-model-CharSequence-toString-6-46-1,T,java.lang,CharSequence,toString,"['java.lang', 'CharSequence', True, 'toString', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']",dubbo-metadata/annotation/processing/util/TypeUtils.java,376,"return type == null ? null : type.toString().replace('.', '/').concat("".class"");","(375, 377)","    static String getResourceName(CharSequence type) {
        return type == null ? null : type.toString().replace('.', '/').concat("".class"");
    }",CharSequence
java-lang-model-CharSequence-toString-6-46-2,T,java.lang,CharSequence,toString,"['java.lang', 'CharSequence', True, 'toString', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']",dubbo-metadata/annotation/processing/util/FieldUtils.java,146,&& field.getSimpleName().toString().equals(fieldName.toString());,"(143, 147)","    static boolean equals(VariableElement field, CharSequence fieldName) {
        return field != null
                && fieldName != null
                && field.getSimpleName().toString().equals(fieldName.toString());
    }",CharSequence
java-lang-model-Class-cast-6-47-1,F,java.lang,Class,cast,"['java.lang', 'Class', False, 'cast', '(Object)', '', 'Argument[0]', 'ReturnValue', 'value', 'manual']",,,,,,
java-lang-model-Exception-Exception-6-48-1,F,java.lang,Exception,Exception,"['java.lang', 'Exception', False, 'Exception', '(String)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'value', 'manual']",,,,,,
java-lang-model-Exception-Exception-6-49-1,F,java.lang,Exception,Exception,"['java.lang', 'Exception', False, 'Exception', '(String,Throwable)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'value', 'manual']",,,,,,
java-lang-model-Exception-Exception-6-50-1,F,java.lang,Exception,Exception,"['java.lang', 'Exception', False, 'Exception', '(String,Throwable)', '', 'Argument[1]', 'Argument[this].SyntheticField[java.lang.Throwable.cause]', 'value', 'manual']",,,,,,
